wl,n,k
2.75028,1.42567,0.0001
2.74725,1.42573,0.0001
2.74424,1.42578,0.0001
2.74123,1.42584,0.0001
2.73823,1.4259,0.0001
2.73523,1.42596,0.0001
2.73224,1.42602,0.0001
2.72926,1.42608,0.0001
2.72628,1.42614,0.0001
2.72331,1.42619,0.0001
2.72035,1.42625,0.0001
2.71739,1.42631,0.0001
2.71444,1.42636,0.0001
2.7115,1.42642,0.0001
2.70856,1.42648,0.0001
2.70563,1.42653,0.0001
2.7027,1.42659,0.0001
2.69978,1.42665,0.0001
2.69687,1.4267,0.0001
2.69397,1.42676,0.0001
2.69107,1.42681,0.0001
2.68817,1.42687,0.0001
2.68528,1.42692,0.0001
2.6824,1.42698,0.0001
2.67953,1.42703,0.0001
2.67666,1.42709,0.0001
2.6738,1.42714,9e-05
2.67094,1.4272,9e-05
2.66809,1.42725,9e-05
2.66525,1.4273,9e-05
2.66241,1.42736,9e-05
2.65957,1.42741,9e-05
2.65675,1.42746,9e-05
2.65393,1.42752,9e-05
2.65111,1.42757,9e-05
2.64831,1.42762,9e-05
2.6455,1.42767,9e-05
2.64271,1.42773,9e-05
2.63992,1.42778,9e-05
2.63713,1.42783,9e-05
2.63435,1.42788,9e-05
2.63158,1.42793,9e-05
2.62881,1.42799,9e-05
2.62605,1.42804,9e-05
2.62329,1.42809,9e-05
2.62055,1.42814,9e-05
2.6178,1.42819,9e-05
2.61506,1.42824,9e-05
2.61233,1.42829,9e-05
2.6096,1.42834,9e-05
2.60688,1.42839,9e-05
2.60417,1.42844,9e-05
2.60146,1.42849,9e-05
2.59875,1.42854,9e-05
2.59605,1.42859,9e-05
2.59336,1.42864,9e-05
2.59067,1.42869,9e-05
2.58799,1.42873,9e-05
2.58532,1.42878,9e-05
2.58264,1.42883,9e-05
2.57998,1.42888,8e-05
2.57732,1.42893,8e-05
2.57467,1.42898,8e-05
2.57202,1.42902,8e-05
2.56937,1.42907,8e-05
2.56674,1.42912,8e-05
2.5641,1.42917,8e-05
2.56148,1.42921,8e-05
2.55885,1.42926,8e-05
2.55624,1.42931,8e-05
2.55363,1.42935,8e-05
2.55102,1.4294,8e-05
2.54842,1.42945,8e-05
2.54582,1.42949,8e-05
2.54323,1.42954,8e-05
2.54065,1.42958,8e-05
