wl,n,k
0.37999,1.2513,2.7922
0.3785,1.2483,2.7825
0.37702,1.2454,2.7729
0.37555,1.2424,2.7632
0.37408,1.2395,2.7536
0.37262,1.2367,2.7441
0.37116,1.2339,2.7345
0.36971,1.2311,2.725
0.36827,1.2283,2.7154
0.36683,1.2256,2.7059
0.3654,1.223,2.6965
0.36397,1.2203,2.687
0.36254,1.2177,2.6776
0.36113,1.2152,2.6682
0.35972,1.2127,2.6588
0.35831,1.2102,2.6494
0.35691,1.2078,2.6401
0.35552,1.2054,2.6308
0.35413,1.203,2.6215
0.35274,1.2007,2.6123
0.35136,1.1984,2.603
0.34999,1.1962,2.5938
0.34862,1.194,2.5846
0.34726,1.1919,2.5755
0.3459,1.1898,2.5664
0.34455,1.1877,2.5573
0.3432,1.1857,2.5482
0.34186,1.1838,2.5392
0.34053,1.1818,2.5302
0.3392,1.18,2.5213
0.33787,1.1781,2.5123
0.33655,1.1764,2.5034
0.33523,1.1746,2.4946
0.33392,1.1729,2.4858
0.33262,1.1713,2.477
0.33132,1.1697,2.4682
0.33002,1.1681,2.4595
0.32873,1.1666,2.4509
0.32745,1.1652,2.4422
0.32617,1.1638,2.4337
0.32489,1.1624,2.4251
0.32362,1.1611,2.4166
0.32236,1.1599,2.4082
0.3211,1.1587,2.3998
0.31985,1.1575,2.3914
0.3186,1.1564,2.3831
0.31735,1.1553,2.3749
0.31611,1.1543,2.3667
0.31487,1.1533,2.3586
0.31364,1.1524,2.3505
0.31242,1.1516,2.3424
0.3112,1.1507,2.3345
0.30998,1.15,2.3266
0.30877,1.1492,2.3187
0.30756,1.1486,2.3109
0.30636,1.148,2.3032
0.30516,1.1474,2.2955
0.30397,1.1468,2.2879
0.30278,1.1464,2.2804
0.3016,1.1459,2.273
0.30042,1.1455,2.2656
0.29925,1.1452,2.2583
0.29808,1.1449,2.2511
0.29691,1.1446,2.2439
0.29575,1.1444,2.2369
0.2946,1.1442,2.2299
0.29344,1.1441,2.223
0.2923,1.144,2.2162
0.29115,1.1439,2.2094
0.29002,1.1439,2.2028
0.28888,1.1439,2.1962
0.28775,1.144,2.1898
0.28663,1.1441,2.1834
0.28551,1.1442,2.1772
0.28439,1.1443,2.171
0.28328,1.1445,2.165
0.28217,1.1447,2.159
0.28107,1.1449,2.1532
0.27997,1.1451,2.1474
0.27888,1.1454,2.1418
0.27779,1.1456,2.1363
0.2767,1.1459,2.1309
0.27562,1.1462,2.1256
0.27455,1.1465,2.1204
0.27347,1.1468,2.1153
0.2724,1.1471,2.1104
0.27134,1.1474,2.1056
0.27028,1.1478,2.1009
0.26922,1.148,2.0963
